Date,Time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,00:12:18:00,0.03,-0.67,0.78,-0.61,0.31,-0.18
2025-02-07,00:12:19:00,0.03,-0.67,0.78,-0.31,0.31,-0.24
2025-02-07,00:12:19:00,0.03,-0.67,0.78,-0.24,0.31,-0.18
2025-02-07,00:12:20:00,0.03,-0.67,0.78,-0.18,0.37,-0.24
2025-02-07,00:12:20:00,0.03,-0.67,0.78,-0.12,0.37,-0.24
2025-02-07,00:12:21:00,0.03,-0.67,0.78,-0.24,0.37,-0.18
2025-02-07,00:12:21:00,0.03,-0.67,0.78,-0.18,0.37,-0.24
2025-02-07,00:12:22:00,0.02,-0.66,0.78,-0.55,0.31,-0.18
2025-02-07,00:12:22:00,0.03,-0.67,0.78,-0.73,0.43,-0.12
2025-02-07,00:12:23:00,0.03,-0.66,0.78,-0.49,0.31,-0.18
2025-02-07,00:12:23:00,0.03,-0.67,0.78,-0.18,0.37,-0.24
2025-02-07,00:12:24:00,0.03,-0.67,0.78,-0.37,0.37,-0.18
2025-02-07,00:12:24:00,0.03,-0.66,0.78,-0.24,0.37,-0.18
2025-02-07,00:12:25:00,0.03,-0.67,0.78,-0.12,0.37,-0.18
2025-02-07,00:12:25:00,0.03,-0.67,0.78,-0.24,0.31,-0.24
2025-02-07,00:12:26:00,0.03,-0.67,0.78,-0.37,0.37,-0.18
2025-02-07,00:12:26:00,0.03,-0.67,0.78,0.12,0.37,-0.18
2025-02-07,00:12:27:00,0.03,-0.67,0.78,-0.18,0.31,-0.18
2025-02-07,00:12:27:00,0.03,-0.67,0.78,-0.24,0.37,-0.18
2025-02-07,00:12:28:00,0.03,-0.67,0.77,0.24,0.31,-0.31
2025-02-07,00:12:28:00,0.03,-0.67,0.78,0.12,0.37,-0.24
2025-02-07,00:12:29:00,-0.26,-0.73,0.68,106.38,106.99,34.42
2025-02-07,00:12:29:00,-0.24,0.89,-0.22,79.41,46.75,132.45
2025-02-07,00:12:30:00,-0.38,0.28,0.33,-198.18,-63.29,-26.73
2025-02-07,00:12:30:00,-0.03,-0.98,-0.32,-1.4,5.25,-10.13
2025-02-07,00:12:31:00,0.19,0.34,1.52,-102.78,47.91,-4.58
2025-02-07,00:12:31:00,-0.27,-0.77,-0.29,-440.49,225.4,-177.0
2025-02-07,00:12:32:00,-0.13,-0.52,0.42,924.68,-43.95,77.09
2025-02-07,00:12:32:00,0.01,-0.02,0.45,-404.79,-64.51,-123.17
2025-02-07,00:12:33:00,-0.88,0.14,-0.47,-3.17,-79.53,-6.29
2025-02-07,00:12:33:00,0.22,-0.16,1.06,4.76,132.2,-25.21
2025-02-07,00:12:34:00,0.11,-0.69,0.76,-3.91,5.49,3.85
2025-02-07,00:12:34:00,-0.02,-0.75,0.7,0.98,-2.62,-2.32
2025-02-07,00:12:35:00,-0.02,-0.75,0.7,-1.16,1.4,-0.43
2025-02-07,00:12:35:00,-0.01,-0.75,0.69,-0.61,0.61,-0.61
2025-02-07,00:12:36:00,-0.01,-0.76,0.69,-0.49,0.55,-0.55
2025-02-07,00:12:36:00,-0.01,-0.76,0.69,-0.37,0.43,-0.49
2025-02-07,00:12:37:00,-0.01,-0.76,0.69,-1.04,0.49,-0.49
2025-02-07,00:12:37:00,-0.01,-0.76,0.68,-0.18,0.49,-0.49
2025-02-07,00:12:38:00,-0.01,-0.76,0.68,-0.31,0.37,-0.37
2025-02-07,00:12:38:00,-0.01,-0.76,0.68,-0.24,0.43,-0.37
2025-02-07,00:12:39:00,-0.01,-0.76,0.68,-0.31,0.37,-0.61
2025-02-07,00:12:39:00,-0.01,-0.76,0.68,-0.06,0.24,-0.24
2025-02-07,00:12:40:00,-0.01,-0.76,0.68,-0.24,0.37,-0.37
2025-02-07,00:12:40:00,-0.01,-0.76,0.68,-0.24,0.37,-0.31
2025-02-07,00:12:41:00,-0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:41:00,-0.0,-0.76,0.68,-0.24,0.31,-0.24
2025-02-07,00:12:42:00,-0.0,-0.76,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:42:00,-0.0,-0.76,0.68,-0.31,0.37,-0.24
2025-02-07,00:12:43:00,-0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:43:00,-0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:44:00,-0.0,-0.76,0.68,-0.24,0.31,-0.31
2025-02-07,00:12:44:00,-0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:45:00,-0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:45:00,-0.0,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:12:46:00,-0.0,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:12:46:00,-0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:47:00,-0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:47:00,0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:48:00,0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:48:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:49:00,0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:49:00,0.0,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:12:50:00,0.0,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:12:50:00,0.0,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:12:51:00,0.0,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:12:51:00,0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:52:00,0.0,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:12:52:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:12:53:00,0.0,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:12:53:00,0.0,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:12:54:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:54:00,0.0,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:12:55:00,0.0,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:12:55:00,0.0,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:12:56:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:56:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:57:00,0.0,-0.77,0.68,-0.24,0.37,-0.31
2025-02-07,00:12:57:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:58:00,0.0,-0.77,0.68,-0.31,0.43,-0.24
2025-02-07,00:12:58:00,0.0,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:12:59:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:12:59:00,0.0,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:00:00,0.0,-0.77,0.68,-0.24,0.37,-0.31
2025-02-07,00:13:00:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:01:00,0.0,-0.76,0.68,0.06,0.24,-0.24
2025-02-07,00:13:01:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:02:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:02:00,0.0,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:03:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:03:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:04:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:04:00,0.0,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:05:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:05:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:06:00,0.0,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:06:00,0.0,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:07:00,0.0,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:07:00,0.0,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:08:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:08:00,0.0,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:13:09:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:09:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:10:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:13:10:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:11:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:11:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:12:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:12:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:13:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:13:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:13:14:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:14:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:15:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:15:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:16:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:16:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:17:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:17:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:18:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:19:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:20:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:21:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:21:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:22:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:22:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:23:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:24:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:24:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:25:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:25:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:26:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:27:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:27:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:28:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:28:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:29:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:29:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:30:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:30:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:31:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:31:00,0.01,-0.77,0.68,-0.12,0.31,-0.24
2025-02-07,00:13:32:00,0.01,-0.77,0.68,-0.12,0.31,-0.31
2025-02-07,00:13:32:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:33:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:33:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:34:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:34:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:35:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:13:35:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:36:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:36:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:37:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:37:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.06
2025-02-07,00:13:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:39:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:42:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:42:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:43:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:43:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:45:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:45:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:46:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:46:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:47:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:47:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:48:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:49:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:13:49:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:50:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:50:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:51:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:13:51:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:52:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:52:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:13:53:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:53:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:54:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:54:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:55:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:13:55:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:56:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:56:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:13:57:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:57:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:13:58:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:58:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:13:59:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:13:59:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:00:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:00:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:01:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:01:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:02:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:02:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:03:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:03:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:04:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:04:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:05:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:05:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:06:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:06:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:07:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:07:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:08:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:08:00,0.01,-0.77,0.68,-0.18,0.37,-0.12
2025-02-07,00:14:09:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:09:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:10:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:10:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:11:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:14:11:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:12:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:12:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:13:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:13:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:14:00,0.01,-0.77,0.68,-0.24,0.37,-0.12
2025-02-07,00:14:14:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:15:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:15:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:16:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:16:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:17:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:17:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:18:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:19:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:19:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:20:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:21:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:21:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:22:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:23:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:24:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:24:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:25:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:25:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:26:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:27:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:27:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:28:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:28:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:29:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:29:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:30:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:30:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:31:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:31:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:32:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:32:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:33:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:33:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:34:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:34:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:35:00,0.01,-0.77,0.68,-0.18,0.37,-0.31
2025-02-07,00:14:35:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:36:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:36:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:37:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:37:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:38:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:38:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:39:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:40:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:40:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:41:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:41:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:42:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:42:00,0.01,-0.77,0.68,-0.24,0.31,-0.18
2025-02-07,00:14:43:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:43:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:44:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:44:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:45:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:45:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:46:00,0.01,-0.77,0.68,-0.24,0.37,-0.18
2025-02-07,00:14:46:00,0.01,-0.76,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:47:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
2025-02-07,00:14:47:00,0.01,-0.77,0.68,-0.18,0.37,-0.24
2025-02-07,00:14:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.24
2025-02-07,00:14:48:00,0.01,-0.77,0.68,-0.18,0.31,-0.18
2025-02-07,00:14:49:00,0.01,-0.77,0.68,-0.24,0.31,-0.24
2025-02-07,00:14:49:00,0.01,-0.77,0.68,-0.18,0.37,-0.18
2025-02-07,00:14:50:00,0.01,-0.77,0.68,-0.24,0.37,-0.24
